Designator,Mid X,Mid Y,Rotation,Layer
C1,13.4,-14.4,90.0,top
C11,12.6,-23.2,90.0,top
C12,16.9,-24.4,180.0,top
C13,20.4,-22.0,90.0,top
C14,20.47,-20.025,270.0,top
C15,20.47,-18.15,90.0,top
C16,20.5,-15.825,270.0,top
C17,15.22,-14.45,180.0,top
C18,17.3,-14.4,180.0,top
C2,16.7,-4.9,270.0,top
C3,17.7,-3.05,90.0,top
C4,12.7,-11.1,0.0,top
C5,16.7,-3.05,90.0,top
C6,11.6,-22.6,270.0,top
C7,17.7,-4.9,270.0,top
C8,15.0,-24.4,0.0,top
C9,25.4,-4.8,0.0,top
FB1,12.4,-12.4,0.0,top
R1,10.1,-22.8,180.0,top
R10,21.9,-22.5,0.0,top
R11,21.9,-21.5,0.0,top
R12,21.9,-19.455,0.0,top
R13,21.9,-20.455,0.0,top
R14,21.9,-18.35,0.0,top
R15,21.9,-17.35,0.0,top
R16,22.0,-15.225,0.0,top
R17,22.0,-16.225,0.0,top
R18,17.6,0.8,180.0,top
R19,15.2,-13.45,180.0,top
R2,8.2,-22.8,180.0,top
R20,17.9,-13.0,90.0,top
R21,16.9,-13.0,90.0,top
R3,17.2,-6.4,0.0,top
R4,17.2,-7.4,180.0,top
R5,13.6,-25.8,270.0,top
R6,14.6,-25.8,270.0,top
R7,11.7,-14.4,270.0,top
R8,17.2,-25.8,270.0,top
R9,16.2,-25.8,270.0,top
U1,15.27,-19.46,180.0,top
U3,13.5,-6.9,0.0,top
U4,20.9,-6.2,0.0,top
Y1,8.9,-25.1,0.0,top
